annual_inc,application_type,bc_open_to_buy,bc_util,home_ownership,int_rate,loan_amnt,max_bal_bc,percent_bc_gt_75,term,title,total_bc_limit,total_rec_int,total_rev_hi_lim,verification_status,grade_int,emp_length_int
44616,Individual,9101,49.7,MORTGAGE,22.39,16000,3006,33.3, 60 months,Debt consolidation,18100,7296.25,25500,Not Verified,3,4
80000,Individual,3379,65.9,MORTGAGE,24.99,28000,3464,33.3, 60 months,Car financing,9900,12313.88,36500,Source Verified,3,5
36358,Individual,26434,27.6,RENT,24.49,10000,5178,20, 60 months,Debt consolidation,36500,5004.04,41000,Verified,3,2
12000,Individual,933,95,OWN,25.29,3600,1443,100, 36 months,Credit card refinancing,2800,855.62,5900,Verified,3,
70000,Individual,13195,23.7,OWN,23.99,35000,2400,25, 60 months,Home buying,17300,3676.53,30600,Not Verified,3,3
22000,Individual,63,97.5,RENT,25.29,8000,1942,100, 36 months,Debt consolidation,2500,3319.8,2500,Source Verified,3,1
63000,Individual,471,81.2,RENT,23.99,8000,1283,50, 36 months,Other,2500,3113.3,5400,Verified,3,4
85000,Individual,9660,58.9,RENT,24.99,11525,3314,28.6, 60 months,Credit card refinancing,23500,390.45,25600,Source Verified,3,3
51100,Individual,16826,0.4,MORTGAGE,25.69,18350,71,0, 60 months,Home improvement,16900,6305,18400,Verified,2,2
60000,Individual,3288,55,MORTGAGE,26.99,25200,2319,25, 60 months,Debt consolidation,7300,2973.63,19200,Verified,2,4
40000,Individual,2000,0,OWN,22.39,3000,0,0, 36 months,Other,2000,244.81,5100,Verified,3,2
120000,Individual,72,99.1,MORTGAGE,28.18,35000,3633,100, 60 months,Debt consolidation,8400,1851.47,20600,Verified,1,3
80000,Individual,19316,16.7,MORTGAGE,22.39,20250,3509,0, 60 months,Debt consolidation,23200,1561.05,32700,Verified,3,2
33500,Individual,646,95.7,RENT,27.49,15950,4886,100, 36 months,Debt consolidation,15100,3394.16,23100,Verified,2,2
85000,Individual,5554,50.4,MORTGAGE,24.49,35000,2080,60, 60 months,Debt consolidation,11200,5018.24,37100,Source Verified,3,2
75000,Individual,2600,89,MORTGAGE,28.18,26000,4418,75, 60 months,Credit card refinancing,20800,4089.05,27100,Verified,1,1
84000,Individual,1237,50.5,MORTGAGE,26.49,6050,1263,0, 36 months,Home improvement,2500,2653.62,2500,Verified,2,5
114000,Individual,0,101.3,RENT,23.99,5000,5264,100, 36 months,Debt consolidation,9000,909.06,9000,Source Verified,3,1
35000,Individual,297,92,RENT,24.99,10000,1768,100, 60 months,Debt consolidation,3700,4396.77,10500,Source Verified,3,1
53000,Individual,2040,62.9,OWN,24.49,15000,3460,50, 60 months,Debt consolidation,5500,7627.75,16200,Not Verified,3,4
78000,Individual,9070,47,RENT,23.99,30000,3300,50, 36 months,Debt consolidation,17100,5950.32,24000,Not Verified,3,4
35817,Individual,310,38,RENT,24.49,3300,190,0, 36 months,Home improvement,500,1312.8,500,Verified,3,2
58800,Individual,8136,61.1,RENT,24.49,12000,5183,42.9, 60 months,Other,20900,5693.1,40900,Not Verified,3,4
35000,Individual,4,99.8,RENT,25.29,10500,2596,100, 36 months,Debt consolidation,2600,3155.63,6600,Verified,3,1
35000,Individual,5144,49.1,RENT,25.29,10800,1886,33.3, 60 months,Debt consolidation,10100,1734.37,20100,Verified,3,2
76000,Individual,131,91.3,RENT,24.99,1500,1369,100, 36 months,Debt consolidation,1500,194.28,4200,Verified,3,5
52000,Individual,8473,31.1,MORTGAGE,24.99,15775,3184,0, 36 months,Business,12300,4674.87,12300,Source Verified,3,2
18000,Individual,4400,96,RENT,23.99,1400,7973,100, 36 months,Medical expenses,13200,545.26,17681,Verified,3,
32400,Individual,825,77.7,OWN,22.39,6000,2875,100, 36 months,,3700,2186.91,5600,Source Verified,3,
140000,Individual,25389,39.8,MORTGAGE,22.39,15000,4764,0, 60 months,Debt consolidation,42200,6920.95,46200,Source Verified,3,3
205000,Individual,163,99.4,RENT,24.49,35000,18475,100, 60 months,Debt consolidation,28500,17583.86,53500,Source Verified,3,4
43176,Individual,1800,87.7,OWN,24.49,16000,4171,100, 60 months,Debt consolidation,14600,8173.64,28900,Not Verified,3,
70000,Individual,6328,80.6,MORTGAGE,26.49,12000,5836,50, 60 months,Debt consolidation,32600,2989.84,44200,Source Verified,2,4
85000,Individual,0,100.6,MORTGAGE,22.39,11500,18175,100, 60 months,Debt consolidation,34200,2682.66,36900,Verified,3,5
29200,Individual,5333,62.7,RENT,25.29,10000,3856,25, 60 months,Debt consolidation,14300,5202.86,17000,Verified,3,1
68500,Individual,1162,62.5,RENT,22.39,20000,1038,50, 60 months,Debt consolidation,3100,6707.54,7700,Verified,3,3
45000,Individual,4785,64,RENT,24.49,11050,5810,25, 60 months,Credit card refinancing,13300,4949.95,17800,Not Verified,3,5
51000,Individual,20,99.4,RENT,25.29,19375,1478,100, 60 months,Debt consolidation,3600,10089.41,5800,Verified,3,1
56000,Individual,3251,68.7,RENT,27.79,19625,4010,60, 60 months,Debt consolidation,10400,6427.99,19700,Verified,2,2
40000,Individual,3551,4,OWN,22.39,7175,149,0, 36 months,Debt consolidation,3700,2587.68,4200,Verified,3,2
115000,Individual,40,99.5,MORTGAGE,24.99,10000,5017,100, 60 months,Debt consolidation,8000,4550.49,8000,Source Verified,3,5
90000,Individual,586,60.9,RENT,24.49,3050,406,33.3, 36 months,Other,1500,458.48,2000,Verified,3,4
120000,Individual,3078,59.5,RENT,22.39,26625,3266,33.3, 60 months,Other,7600,12135.7,11100,Verified,3,1
30000,Individual,95,93.7,RENT,24.99,10000,1405,100, 60 months,Debt consolidation,1500,427.89,13400,Verified,3,1
20000,Individual,47,96.1,MORTGAGE,22.39,5600,667,100, 36 months,Debt consolidation,1200,90.56,8800,Verified,3,
45000,Individual,4200,16,RENT,25.29,12000,800,0, 36 months,Debt consolidation,5000,703.52,5000,Source Verified,3,3
72000,Joint App,1663,72.2,MORTGAGE,26.49,24000,5280,66.7, 60 months,Debt consolidation,10700,10057.73,15900,Verified,2,3
200000,Individual,20265,29.6,MORTGAGE,29.67,30000,3032,37.5, 60 months,Debt consolidation,28800,1947.83,42400,Verified,1,5
115000,Individual,3564,63.6,RENT,22.39,19200,2157,25, 60 months,Debt consolidation,9800,1468.62,14800,Verified,3,5
88000,Individual,2397,85,RENT,27.49,32875,6730,83.3, 36 months,Debt consolidation,16000,3435.43,27600,Verified,2,1
51850,Individual,8367,63.1,RENT,23.99,14400,9758,66.7, 60 months,Debt consolidation,22700,7107.86,37400,Source Verified,3,2
260000,Individual,14364,67.5,OWN,24.49,8000,10897,20, 36 months,Other,44200,173.53,131400,Source Verified,3,
65000,Individual,6452,41.3,RENT,25.69,10175,2014,0, 60 months,Debt consolidation,11000,2840.04,13300,Verified,2,5
0,Joint App,99,97.8,MORTGAGE,26.99,18900,3438,100, 60 months,,4500,4030.89,37800,Not Verified,2,
51000,Individual,14958,21.3,MORTGAGE,22.39,10800,2874,0, 60 months,Credit card refinancing,19000,4929.28,34300,Verified,3,2
35000,Joint App,4250,75.3,RENT,24.99,11325,6921,66.7, 60 months,Debt consolidation,17200,5825.37,23900,Verified,3,5
65000,Individual,7459,35.1,OWN,22.39,12000,2110,33.3, 60 months,Home improvement,11500,1955.5,14100,Not Verified,3,5
49000,Individual,1851,82.2,RENT,22.39,17625,7674,66.7, 36 months,Debt consolidation,10400,5389.09,17600,Source Verified,3,2
85000,Individual,3449,64.8,RENT,24.49,1600,3021,75, 36 months,Vacation,9800,642.99,30800,Verified,3,4
57700,Individual,1113,66.3,RENT,28.88,20750,2187,0, 60 months,Debt consolidation,3300,5450.59,3300,Verified,1,3
49000,Individual,4792,46.2,RENT,25.29,20000,3383,0, 60 months,,8900,10409.26,15000,Verified,3,2
110000,Individual,2302,92.7,MORTGAGE,25.29,6000,17054,80, 36 months,Other,31700,874.43,34700,Source Verified,3,1
48000,Individual,6302,53.7,OWN,24.49,24000,2889,33.3, 60 months,Debt consolidation,13600,12069.63,17600,Source Verified,3,5
80000,Joint App,173,97.1,OWN,24.49,32000,2928,100, 60 months,Debt consolidation,6000,6284.93,6000,Verified,3,5
79999,Individual,38615,17.1,RENT,25.69,24975,3685,0, 36 months,Other,46600,10512.04,49400,Verified,2,5
75000,Individual,720,93.6,MORTGAGE,24.99,20000,2203,81.8, 60 months,Credit card refinancing,11200,10271.42,30800,Source Verified,3,1
45000,Individual,2933,101,MORTGAGE,25.29,20250,5470,100, 60 months,Debt consolidation,8799,10749.18,32719,Verified,3,3
75000,Individual,10225,65,MORTGAGE,25.29,30000,18700,62.5, 60 months,Vacation,81800,5403.94,87600,Verified,3,5
42000,Individual,19234,32,RENT,24.49,7000,2038,20, 36 months,Other,28300,2170.49,34000,Verified,3,2
70000,Individual,4398,67.4,MORTGAGE,22.39,10000,4858,33.3, 60 months,Home improvement,13500,4557.93,32400,Not Verified,3,3
30000,Individual,154,93.8,RENT,22.39,10000,2346,100, 36 months,Debt consolidation,2500,481.96,4900,Source Verified,3,2
150000,Individual,5719,62.6,MORTGAGE,27.49,15000,6117,50, 60 months,Debt consolidation,15300,5427.59,22100,Verified,2,1
120000,Individual,11060,75.7,MORTGAGE,30.99,35000,10565,62.5, 60 months,Debt consolidation,45500,11078.48,74000,Verified,1,5
42000,Individual,2875,96,OWN,24.49,16000,5156,100, 60 months,Debt consolidation,11500,3685.97,21690,Verified,3,1
65000,Individual,14696,53.8,MORTGAGE,24.49,30000,5642,62.5, 36 months,Debt consolidation,31800,6949.83,42400,Verified,3,3
40000,Individual,504,92.4,MORTGAGE,25.29,10075,2572,100, 60 months,,6600,5244.34,13800,Source Verified,3,5
135000,Individual,5113,25,MORTGAGE,27.79,35000,4285,12.5, 36 months,Debt consolidation,40900,2070.99,51700,Verified,2,5
42000,Individual,740,81.5,MORTGAGE,24.99,10000,2895,50, 60 months,,4000,5135.65,19800,Verified,3,
58000,Individual,21168,39,RENT,24.49,16125,4634,33.3, 60 months,Debt consolidation,34700,6202.04,43100,Source Verified,3,3
44737,Individual,6475,13.7,RENT,22.39,10000,465,0, 36 months,Debt consolidation,7500,3671.66,18300,Source Verified,3,
30000,Individual,500,0,OWN,28.18,7000,0,0, 36 months,Other,500,3086.52,4700,Verified,1,3
35000,Individual,2360,99,RENT,25.29,10650,3468,100, 36 months,Debt consolidation,11800,1943.21,15700,Not Verified,3,2
42500,Individual,823,88.4,MORTGAGE,27.49,12500,2235,80, 60 months,Debt consolidation,7100,3802.4,12500,Verified,2,4
40000,Individual,2292,61,MORTGAGE,24.49,12000,1549,62.5, 60 months,Debt consolidation,5800,5846.87,7900,Verified,3,4
60000,Individual,19353,55.5,RENT,22.39,27600,13882,20, 60 months,Credit card refinancing,43500,11569.06,52200,Not Verified,3,5
69000,Individual,99,80.2,MORTGAGE,22.39,2500,401,100, 36 months,Other,500,901.56,500,Verified,3,
40000,Individual,1008,79,RENT,26.49,6650,1591,66.7, 36 months,Other,4800,2920.89,17000,Source Verified,2,2
90000,Individual,268,79.4,MORTGAGE,30.99,35000,731,50, 60 months,Business,1300,23139.34,13400,Verified,1,5
70000,Individual,321,96.8,RENT,25.29,16675,4442,100, 60 months,Debt consolidation,10000,6079.97,12600,Source Verified,3,5
40000,Individual,8537,52.6,MORTGAGE,24.49,15000,5059,66.7, 60 months,Debt consolidation,18000,2074.78,26200,Source Verified,3,5
72000,Individual,3101,48.3,MORTGAGE,22.39,18000,2269,0, 60 months,Debt consolidation,6000,1153.98,10300,Verified,3,4
46992,Individual,2433,49,RENT,25.69,10975,1876,33.3, 36 months,Debt consolidation,7300,4702.41,12600,Verified,2,
113000,Individual,24496,39.7,MORTGAGE,28.88,20950,6415,14.3, 60 months,Debt consolidation,40600,2914.57,47500,Not Verified,1,5
40000,Individual,231,88.4,RENT,24.49,5600,966,66.7, 36 months,Moving and relocation,2000,166.31,2800,Source Verified,3,3
100000,Individual,4690,16.2,RENT,22.39,15000,346,0, 60 months,Debt consolidation,5600,2347.13,10600,Not Verified,3,4
190000,Individual,4813,48,MORTGAGE,23.99,21000,5898,25, 60 months,Home improvement,38501,3839.45,43025,Verified,3,2
46800,Individual,1275,71.7,OWN,22.39,5000,1715,50, 36 months,Home improvement,4500,1803.22,17000,Verified,3,5
48000,Individual,2136,87.9,MORTGAGE,22.39,15000,5403,80, 60 months,Credit card refinancing,17600,6855.65,24600,Not Verified,3,5
75000,Individual,5065,54.4,RENT,26.99,30000,2101,60, 60 months,Debt consolidation,11100,4515.02,20600,Verified,2,2
150000,Joint App,3359,93.5,MORTGAGE,24.99,21000,14731,83.3, 60 months,Debt consolidation,52000,8306.89,52000,Verified,3,5
128000,Individual,642,96,RENT,22.39,34475,7720,100, 36 months,Debt consolidation,15900,10379.52,34700,Verified,3,5
53000,Individual,2813,56.7,OWN,23.99,3000,1843,75, 36 months,Major purchase,6500,1165.73,20100,Verified,3,5
33000,Individual,4132,55.6,MORTGAGE,25.69,11000,3313,0, 60 months,Debt consolidation,9300,5821.92,9300,Source Verified,2,3
85500,Individual,3637,82.8,RENT,24.99,30000,5818,80, 60 months,Debt consolidation,21200,15407.07,43900,Source Verified,3,1
95000,Individual,2072,66,MORTGAGE,22.39,20000,1535,25, 60 months,Debt consolidation,6100,9204.72,22700,Not Verified,3,2
24000,Individual,13012,10.9,RENT,22.39,6000,888,33.3, 36 months,Major purchase,14600,622.79,14600,Source Verified,3,1
90000,Individual,7982,67.4,MORTGAGE,24.99,30400,7826,33.3, 60 months,Debt consolidation,24500,15612.48,33800,Verified,3,5
60000,Individual,681,84.2,RENT,22.39,15000,2490,50, 36 months,Credit card refinancing,4300,809.17,8800,Verified,3,4
42300,Individual,6360,69.9,MORTGAGE,24.99,21150,6711,50, 60 months,Debt consolidation,21100,10863.08,35500,Not Verified,3,5
45000,Individual,3385,22,RENT,25.69,17600,3793,0, 36 months,Business,33850,7375.77,44200,Source Verified,2,2
128000,Individual,,,RENT,22.39,20000,0,, 60 months,Debt consolidation,0,9302.53,8600,Verified,3,5
72000,Individual,1134,52,RENT,22.39,15075,2387,25, 36 months,Debt consolidation,9070,1053.88,20220,Verified,3,2
52913,Individual,2889,25.9,RENT,26.49,11000,1011,0, 60 months,Other,3900,645.26,5400,Source Verified,2,5
65000,Individual,3948,71.8,MORTGAGE,22.39,19600,4059,83.3, 60 months,Debt consolidation,14000,8933.67,33700,Source Verified,3,3
35000,Individual,9281,3.3,RENT,24.49,14000,190,0, 60 months,Debt consolidation,9600,6858.88,17300,Not Verified,3,3
169000,Individual,6375,9,RENT,25.29,35000,1136,0, 36 months,Other,25500,14417.61,59450,Verified,3,5
60000,Individual,401,95.5,MORTGAGE,28.88,10075,6006,100, 60 months,Debt consolidation,9000,2525.78,11500,Source Verified,1,4
160000,Individual,5198,87.3,MORTGAGE,27.49,35000,15282,100, 60 months,Debt consolidation,40800,6174.67,43800,Verified,2,2
80000,Individual,187,93.3,MORTGAGE,23.99,35000,2613,100, 36 months,Debt consolidation,2800,13608.8,22400,Source Verified,3,4
73000,Individual,15000,102,RENT,22.39,6000,20329,100, 36 months,Credit card refinancing,30000,2168.26,30000,Verified,3,3
97000,Individual,5000,0,RENT,27.49,32000,0,0, 36 months,Other,5000,3493.41,5000,Verified,2,3
50000,Individual,3954,56.1,RENT,24.49,12600,2421,33.3, 60 months,Debt consolidation,9000,6085.66,11500,Verified,3,3
90000,Individual,17492,37.1,RENT,29.67,10000,9369,0, 60 months,Debt consolidation,27800,6196.83,37500,Source Verified,1,1
12000,Individual,2840,19,RENT,25.29,3600,5007,10, 36 months,Debt consolidation,28400,229.85,30100,Not Verified,3,2
52000,Individual,6916,56.5,RENT,24.49,16000,4207,75, 60 months,Debt consolidation,15900,5617.22,28300,Source Verified,3,1
44000,Individual,,,RENT,24.99,2500,0,, 36 months,Other,0,870.16,6800,Verified,3,4
55000,Individual,931,81.4,RENT,23.99,12000,4069,100, 60 months,Other,5000,4294.46,13700,Source Verified,3,5
208228,Individual,36530,53.9,MORTGAGE,24.49,35000,26173,28.6, 60 months,Debt consolidation,79200,2241.83,112200,Not Verified,3,5
70000,Individual,1016,53.8,RENT,27.49,15000,612,66.7, 60 months,Debt consolidation,2200,8240.38,3200,Source Verified,2,5
98200,Individual,356,98.3,RENT,24.49,24000,6183,100, 60 months,,21400,5279.22,27100,Verified,3,5
56000,Individual,2563,99,RENT,24.49,1000,7492,100, 36 months,Medical expenses,10250,159.89,10250,Verified,3,2
72000,Individual,19821,57.7,RENT,22.39,35000,8378,16.7, 60 months,Debt consolidation,46900,4984.75,65600,Source Verified,3,1
85000,Individual,4900,43,RENT,22.39,28375,2102,0, 60 months,Major purchase,4900,13070.9,12600,Verified,3,4
70000,Individual,13042,27.5,MORTGAGE,24.49,16000,4958,0, 60 months,Credit card refinancing,18000,6187.38,18500,Verified,3,
52000,Individual,4476,40.3,OWN,22.39,10025,1907,0, 36 months,Debt consolidation,7500,3628.01,11200,Verified,3,5
38400,Individual,3672,26.6,MORTGAGE,22.39,9850,935,0, 36 months,Debt consolidation,5000,19.49,5000,Verified,3,2
105000,Individual,452,99,RENT,24.49,27100,13829,100, 60 months,Debt consolidation,45800,13799.19,50800,Verified,3,5
118000,Individual,11611,60,MORTGAGE,22.39,35000,17437,33.3, 60 months,Debt consolidation,104500,13482.58,116500,Verified,3,2
60000,Individual,1848,78,MORTGAGE,25.29,23100,5323,50, 60 months,Debt consolidation,8400,12051.14,11600,Verified,3,3
183000,Individual,10480,83,MORTGAGE,23.99,35000,13517,80, 36 months,Debt consolidation,52400,6873.82,58400,Verified,3,3
55000,Individual,1313,90.4,MORTGAGE,25.29,10000,4263,100, 60 months,Business,13700,5227.1,16700,Source Verified,3,5
100000,Individual,10186,61.7,MORTGAGE,22.39,14000,6459,50, 60 months,Home buying,26600,4249.76,29800,Source Verified,3,3
124000,Individual,49863,17,RENT,22.39,20000,3979,12.5, 60 months,Debt consolidation,60100,5887.7,68300,Source Verified,3,5
26568,Individual,260,85.6,OWN,22.39,8000,1540,100, 36 months,,1800,587.71,10300,Verified,3,
85000,Individual,387,97.2,MORTGAGE,27.49,26400,3942,100, 36 months,Debt consolidation,13600,3722.23,26200,Verified,2,4
95000,Individual,31664,57.2,OWN,30.99,25125,12378,71.4, 60 months,Credit card refinancing,74000,12955.15,89500,Not Verified,1,2
167000,Individual,1487,,RENT,24.49,10625,1113,0, 60 months,Major purchase,2600,862.98,5300,Source Verified,3,2
95340.44,Individual,14388,91,RENT,26.99,35000,17395,100, 36 months,Debt consolidation,57550,9163.78,57550,Verified,2,5
95000,Individual,3740,31,RENT,24.99,1800,3530,20, 36 months,Moving and relocation,18700,379.79,22700,Source Verified,3,2
85000,Individual,234,96,RENT,24.49,24000,4760,100, 60 months,Debt consolidation,5800,7911.25,13200,Source Verified,3,1
87000,Individual,709,92.6,RENT,23.99,10000,2497,85.7, 60 months,Credit card refinancing,9600,4925.77,15900,Verified,3,2
29736,Individual,93,98.1,RENT,22.39,7800,1968,100, 36 months,Debt consolidation,4800,2541.52,10600,Verified,3,
120000,Individual,5250,82,OWN,24.49,19200,5686,50, 60 months,Debt consolidation,10500,4976.56,20200,Verified,3,5
46000,Individual,3044,74.6,RENT,26.99,12800,4449,50, 60 months,Debt consolidation,12000,411.5,21200,Verified,2,3
50000,Individual,13011,54.5,MORTGAGE,25.69,21000,5017,57.1, 60 months,Debt consolidation,28600,9144.13,46900,Source Verified,2,2
57000,Individual,3419,89,RENT,23.99,3000,7995,87.5, 36 months,Debt consolidation,31200,965.69,32700,Source Verified,3,1
145000,Individual,5281,39.3,MORTGAGE,27.49,16875,1891,16.7, 60 months,Debt consolidation,8700,4964.27,24800,Source Verified,2,5
50000,Individual,1650,37,RENT,24.99,5000,1381,33.3, 36 months,Other,4950,2039.78,7450,Not Verified,3,3
85000,Individual,994,94.8,MORTGAGE,25.29,35000,6601,85.7, 60 months,Debt consolidation,19300,18343,36500,Verified,3,1
40000,Individual,949,89.6,MORTGAGE,25.29,15200,6212,100, 60 months,Debt consolidation,9100,8009.36,9100,Source Verified,3,3
60000,Individual,0,100.4,RENT,22.39,5000,2008,100, 36 months,,2000,1404.84,3500,Verified,3,2
65000,Individual,21554,28.9,MORTGAGE,22.39,18875,5362,50, 60 months,Debt consolidation,30300,1939.78,31800,Not Verified,3,5
55000,Individual,2881,83.1,RENT,26.99,12525,7776,66.7, 60 months,Debt consolidation,17000,7014.7,19800,Not Verified,2,2
130000,Individual,4222,37.9,MORTGAGE,24.99,9800,1360,0, 36 months,Other,6800,4008.02,11800,Source Verified,3,1
60000,Individual,1517,93.1,OWN,25.29,11100,5231,100, 36 months,Debt consolidation,22000,2509.65,23700,Verified,3,3
150000,Individual,33,99.2,MORTGAGE,24.49,25000,1940,100, 60 months,,4000,4391.28,16600,Verified,3,5
27417,Individual,3661,30.9,MORTGAGE,24.49,3000,942,33.3, 36 months,,5300,117.2,5300,Verified,3,4
65000,Individual,3603,90.1,OWN,23.99,1400,24648,66.7, 36 months,Other,36300,546.2,53300,Source Verified,3,5
105000,Individual,9745,11.4,MORTGAGE,24.49,35000,724,0, 60 months,Home improvement,11000,1772.49,36800,Source Verified,3,5
142000,Individual,2600,99,MORTGAGE,23.99,7500,6497,100, 36 months,Home improvement,10400,2660.22,31600,Verified,3,3
45000,Individual,734,88.5,RENT,22.39,13000,3767,66.7, 60 months,Debt consolidation,6400,2291.44,17600,Source Verified,3,5
122500,Individual,12252,56.2,RENT,22.39,14400,3747,44.4, 60 months,Other,28000,3483.52,33000,Verified,3,1
7900,Individual,2,99.9,RENT,25.69,2225,1491,100, 36 months,Debt consolidation,2500,673.99,7300,Verified,2,
46000,Individual,6399,57.3,MORTGAGE,26.49,9000,4367,50, 36 months,Other,15000,1487.07,23900,Source Verified,2,3
115000,Individual,927,95.3,MORTGAGE,22.39,10000,6561,80, 60 months,Home improvement,19900,4570.37,30400,Source Verified,3,5
672000,Individual,,,RENT,22.39,11050,0,, 60 months,Other,0,396.72,4100,Source Verified,3,2
111000,Individual,1951,81.1,RENT,23.99,30000,1935,66.7, 60 months,Debt consolidation,10300,9383.28,25900,Verified,3,4
61000,Individual,6656,76.6,RENT,24.99,22000,8956,60, 60 months,Debt consolidation,28500,6488.05,28500,Source Verified,3,3
80000,Individual,3792,81,MORTGAGE,25.69,33600,7971,75, 60 months,Debt consolidation,20000,17962.38,21900,Verified,2,2
75000,Individual,38,99.1,RENT,24.99,18550,3795,100, 36 months,Debt consolidation,4400,3924.32,4400,Source Verified,3,5
52000,Individual,658,94.3,RENT,22.39,10400,5886,100, 60 months,Debt consolidation,11500,3498.37,18300,Source Verified,3,4
120000,Individual,363,97.7,MORTGAGE,28.18,28000,12700,100, 60 months,Debt consolidation,15800,10489.17,40100,Verified,1,3
140000,Individual,521,83.7,MORTGAGE,22.39,16000,1389,100, 60 months,Debt consolidation,3200,7515.48,9400,Source Verified,3,5
29120,Individual,4750,99,RENT,24.99,3000,4980,100, 36 months,Moving and relocation,9500,1223.85,9500,Verified,3,1
65000,Individual,605,93,MORTGAGE,24.49,18000,5988,100, 60 months,Other,8600,9067.59,14200,Verified,3,5
32808,Individual,1370,83.9,OWN,25.69,13100,4792,50, 60 months,,8500,1997.24,11600,Verified,2,
83000,Individual,210,98.6,MORTGAGE,24.99,18000,4190,85.7, 60 months,Credit card refinancing,14800,1406.96,18800,Source Verified,3,4
60000,Individual,9748,43,RENT,28.18,20000,2549,25, 60 months,Debt consolidation,17100,4057.01,24200,Verified,1,1
65000,Individual,10628,25.2,MORTGAGE,27.49,15000,2473,40, 60 months,Credit card refinancing,14200,627.53,74400,Verified,2,2
42000,Individual,516,95.1,RENT,22.39,12000,2294,100, 60 months,Debt consolidation,10500,5370.85,17100,Source Verified,3,2
97000,Individual,39369,9.9,OWN,22.39,32000,2885,14.3, 60 months,Home improvement,43700,4509.17,74200,Verified,3,1
60000,Individual,26070,3.4,RENT,28.18,15000,864,0, 60 months,Debt consolidation,27000,4323.04,42800,Not Verified,1,4
81000,Individual,2750,59,OWN,22.39,6000,3252,0, 36 months,Home improvement,5500,1009.65,5500,Not Verified,3,5
35000,Individual,2500,0,RENT,27.79,10825,0,0, 36 months,Debt consolidation,2500,4643.16,6800,Verified,2,2
36000,Individual,500,0,RENT,24.49,12000,0,0, 60 months,Debt consolidation,500,6045.05,17200,Source Verified,3,4
72000,Individual,13814,30.6,MORTGAGE,22.39,10000,2852,60, 60 months,Debt consolidation,19900,723.48,35000,Source Verified,3,1
65000,Individual,4361,75.1,MORTGAGE,24.49,18000,6240,66.7, 60 months,Debt consolidation,17500,6186.73,24800,Source Verified,3,2
42000,Individual,689,92.6,RENT,27.79,18475,5890,66.7, 60 months,Debt consolidation,9300,3991.67,10900,Verified,2,5
25000,Individual,20731,16.7,RENT,22.39,5000,3288,0, 36 months,Other,24900,1809.44,26700,Source Verified,3,2
125000,Individual,3750,93,RENT,29.96,30000,6943,50, 60 months,Debt consolidation,7500,18929.68,11500,Verified,1,5
88000,Individual,11392,60,RENT,22.39,8400,4442,18.2, 36 months,Debt consolidation,28500,1425.56,32300,Source Verified,3,2
85000,Individual,2221,68.3,OWN,24.99,30000,2676,20, 36 months,Debt consolidation,7000,10261.16,20000,Verified,3,1
65000,Individual,2569,14.4,RENT,25.69,24950,431,0, 60 months,Debt consolidation,3000,13329.73,16600,Verified,2,2
72000,Individual,40340,23.9,OWN,24.49,15000,12660,0, 60 months,Debt consolidation,53000,4119.44,56500,Source Verified,3,4
27000,Individual,,,RENT,22.39,1600,0,, 36 months,Other,0,545.53,5400,Verified,3,5
85000,Individual,2030,92.1,MORTGAGE,24.49,24000,7016,83.3, 60 months,,25600,11725.24,48500,Source Verified,3,2
92000,Individual,1115,95.6,RENT,26.49,35000,8103,90, 36 months,Debt consolidation,24600,15550.37,31600,Verified,2,
42000,Individual,3200,66,RENT,22.39,6000,4997,66.7, 36 months,Debt consolidation,9600,2157.01,11400,Not Verified,3,2
52000,Individual,479,97.1,OWN,24.49,16000,4282,100, 60 months,Debt consolidation,16800,7843.56,25500,Source Verified,3,3
62000,Individual,5250,19.2,RENT,25.29,10000,894,0, 60 months,Debt consolidation,6500,2752.43,9500,Verified,3,2
60000,Individual,1600,0,RENT,28.88,15125,0,0, 36 months,Other,1600,4155.86,10700,Verified,1,4
92175,Individual,18711,41.3,MORTGAGE,22.39,28000,4854,60, 60 months,Debt consolidation,31900,2578.21,32100,Source Verified,3,4
60000,Individual,1573,86.3,RENT,24.49,28800,9927,50, 60 months,Debt consolidation,11500,2283.95,11800,Source Verified,3,3
27000,Individual,2220,41.6,OWN,22.39,9175,1035,0, 36 months,Other,3800,2393.55,4600,Source Verified,3,4
50000,Individual,2497,78.7,RENT,24.99,11200,4664,20, 60 months,Debt consolidation,11700,2489.39,25400,Verified,3,4
10200,Individual,682,62.1,RENT,22.39,1000,1118,0, 36 months,Car financing,1800,272.23,3300,Not Verified,3,
70926,Individual,4957,67,RENT,24.99,28500,9332,25, 60 months,Debt consolidation,15000,11623.81,17500,Source Verified,3,1
65870,Individual,10515,44.1,OWN,27.49,21600,7580,33.3, 36 months,,18800,9882.09,18800,Verified,2,5
62000,Individual,7725,59.8,RENT,24.99,15000,6163,33.3, 36 months,Credit card refinancing,19200,1161.92,29200,Verified,3,
54000,Individual,3986,81.7,MORTGAGE,26.49,24825,4663,75, 36 months,Credit card refinancing,21800,7190.86,42500,Verified,2,4
55000,Individual,13724,52.5,MORTGAGE,25.29,14550,7990,16.7, 36 months,Debt consolidation,28900,5924.81,38400,Source Verified,3,5
75000,Individual,0,101.5,MORTGAGE,24.99,12000,5076,100, 60 months,Debt consolidation,5000,3538.17,10700,Not Verified,3,5
